9,6,0.35,0.35,0.4,0.4,0.45,0.45,0.45,0.45,0.45,0.5,0.5,0.5,0.5,0.5
9,5,0.35,0.4,0.45,0.45,0.45,0.45,0.45,0.45,0.5,0.5,0.5,0.5,0.5,0.5
9,4,0.45,0.45,0.45,0.45,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
9,3,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
9,2,0.85,0.65,0.6,0.55,0.55,0.55,0.55,0.5,0.5,0.5,0.5,0.5,0.5,0.5
9,1,1.35,1,0.9,0.8,0.75,0.75,0.7,0.7,0.65,0.65,0.6,0.55,0.55,0.55
10,10,-0.25,0,0.15,0.2,0.25,0.3,0.3,0.35,0.35,0.4,0.45,0.45,0.45,0.45
10,9,-0.05,0.2,0.3,0.35,0.35,0.4,0.4,0.4,0.4,0.45,0.45,0.5,0.5,0.5
10,8,0.1,0.3,0.35,0.4,0.4,0.4,0.45,0.45,0.45,0.45,0.5,0.5,0.5,0.5
10,7,0.2,0.35,0.4,0.4,0.45,0.45,0.45,0.45,0.45,0.5,0.5,0.5,0.5,0.5
10,6,0.3,0.4,0.4,0.45,0.45,0.45,0.45,0.45,0.45,0.5,0.5,0.5,0.5,0.5
10,5,0.4,0.45,0.45,0.45,0.45,0.45,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.5
10,4,0.5,0.45,0.45,0.45,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
10,3,0.6,0.55,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
10,2,0.85,0.65,0.6,0.55,0.55,0.55,0.55,0.5,0.5,0.5,0.5,0.5,0.5,0.5
10,1,1.35,1,0.9,0.8,0.75,0.75,0.7,0.7,0.65,0.65,0.6,0.55,0.55,0.55
11,11,-0.25,0,0.15,0.2,0.25,0.3,0.3,0.3,0.35,0.35,0.45,0.45,0.45,0.45
11,10,-0.05,0.2,0.25,0.3,0.35,0.4,0.4,0.4,0.4,0.45,0.45,0.5,0.5,0.5
11,9,0.1,0.3,0.35,0.4,0.4,0.4,0.45,0.45,0.45,0.45,0.5,0.5,0.5,0.5
11,8,0.2,0.35,0.4,0.4,0.45,0.45,0.45,0.45,0.45,0.45,0.5,0.5,0.5,0.5
11,7,0.25,0.4,0.4,0.45,0.45,0.45,0.45,0.45,0.45,0.5,0.5,0.5,0.5,0.5
11,6,0.35,0.4,0.45,0.45,0.45,0.45,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.5
11,5,0.4,0.45,0.45,0.45,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
11,4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
11,3,0.65,0.55,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
11,2,0.85,0.65,0.6,0.55,0.55,0.55,0.55,0.5,0.5,0.5,0.5,0.5,0.5,0.5
11,1,1.35,1.05,0.9,0.8,0.75,0.75,0.7,0.7,0.65,0.65,0.6,0.55,0.55,0.55
